epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1611.07,0.54093,0.35047,0.89336,0.86863,0.84,0.91547,0.50449,1.63017,0.70113,1.61735,0.00073864,0.00073864,0.00073864
134,1623.68,0.54631,0.35201,0.87013,0.81215,0.88,0.91069,0.50172,1.70977,0.71972,1.64544,0.00073666,0.00073666,0.00073666
135,1638.87,0.59392,0.37742,0.89653,0.99826,0.72,0.87708,0.47388,1.75409,0.77888,1.69467,0.00073468,0.00073468,0.00073468
136,1652.34,0.55535,0.35661,0.86485,0.94818,0.73241,0.86835,0.48414,1.73607,0.78545,1.71572,0.0007327,0.0007327,0.0007327
137,1665.16,0.55915,0.37185,0.88642,0.86859,0.79345,0.84533,0.47597,1.72072,0.80378,1.707,0.00073072,0.00073072,0.00073072
138,1678.24,0.60486,0.3871,0.91352,0.94515,0.8,0.88199,0.47777,1.73282,0.82258,1.69809,0.00072874,0.00072874,0.00072874
139,1690.99,0.60058,0.37915,0.91009,0.92674,0.8,0.87821,0.45013,1.79865,0.87253,1.74013,0.00072676,0.00072676,0.00072676
140,1703.92,0.57571,0.36434,0.88286,0.98257,0.76,0.90346,0.46236,1.77348,0.89638,1.74053,0.00072478,0.00072478,0.00072478
141,1716.71,0.62157,0.39344,0.89394,0.98293,0.76,0.90068,0.45121,1.74186,0.88277,1.71545,0.0007228,0.0007228,0.0007228
142,1729.27,0.58447,0.38212,0.88817,0.98861,0.76,0.90074,0.46749,1.63954,0.83555,1.63832,0.00072082,0.00072082,0.00072082
143,1742.75,0.59783,0.37624,0.87885,1,0.74792,0.90495,0.47014,1.62926,0.77524,1.62416,0.00071884,0.00071884,0.00071884
144,1755.25,0.59591,0.37969,0.88917,0.94283,0.8,0.84708,0.45955,1.68471,0.75431,1.64422,0.00071686,0.00071686,0.00071686
145,1768.37,0.56529,0.36256,0.89816,0.86311,0.84,0.87189,0.46399,1.71363,0.78115,1.65979,0.00071488,0.00071488,0.00071488
146,1780.95,0.56269,0.3543,0.89142,0.79025,0.90453,0.88247,0.46802,1.74416,0.91514,1.71343,0.0007129,0.0007129,0.0007129
147,1795.46,0.55628,0.35689,0.88397,0.7728,0.84,0.82938,0.4348,1.74188,0.93087,1.71107,0.00071092,0.00071092,0.00071092
148,1808.9,0.56598,0.35324,0.88806,0.74926,0.84,0.82762,0.41749,1.78336,0.93063,1.68986,0.00070894,0.00070894,0.00070894
149,1822.42,0.56257,0.35651,0.88245,0.8563,0.7153,0.82659,0.43923,1.75727,0.92116,1.67854,0.00070696,0.00070696,0.00070696
150,1836.3,0.55709,0.36202,0.88073,0.98758,0.72,0.85071,0.45634,1.70385,0.99099,1.6718,0.00070498,0.00070498,0.00070498
151,1849,0.56949,0.36236,0.88189,0.98964,0.72,0.85196,0.43652,1.76963,1.01641,1.73506,0.000703,0.000703,0.000703
